word;translation;source
accept;принимать;db
achieve;достигать;db
acknowledge;признавать;user
add;добавлять;db
admire;восхищаться;db
admit;признавать;db
allow;разрешать;db
answer;отвечать;db
ask;спрашивать;db
bake;печь;db
begin;начинать;db
believe;верить;db
bring;приносить;db
build;строить;db
buy;покупать;db
call;звонить;db
cat;кошка;user
change;менять;db
clean;чистить;db
close;закрывать;db
cook;готовить;db
create;создавать;db
cry;плакать;db
cut;резать;db
dance;танцевать;db
decide;решать;db
deliver;доставлять;db
despise;презирать;user
discover;обнаруживать;db
draw;рисовать;db
dream;мечтать;user
drink;пить;db
drive;водить;db
eat;есть;db
enjoy;наслаждаться;db
enter;входить;db
escape;сбегать;db
explain;объяснять;db
fall;падать;db
feel;чувствовать;db
fight;драться;db
find;находить;db
finish;заканчивать;db
fix;чинить;db
fly;летать;db
follow;следовать;db
forget;забывать;db
forgive;прощать;db
get;получать;db
give;давать;db
go;идти;db
grow;расти;db
guess;угадывать;db
happen;происходить;db
hate;ненавидеть;db
hear;слышать;db
help;помогать;db
hold;держать;db
hope;надеяться;db
hug;обнимать;db
imagine;представлять;db
improve;улучшать;db
include;включать;db
invite;приглашать;db
join;присоединяться;db
jump;прыгать;db
keep;хранить;db
kill;убивать;db
know;знать;db
laugh;смеяться;db
learn;обучаться;db
leave;уходить;db
like;нравиться;db
listen;слушать;db
live;жить;db
lose;терять;db
love;любить;db
make;делать;db
meet;встречать;db
move;двигаться;db
need;нуждаться;db
open;открывать;db
paint;красить;db
pass;передавать;db
plan;планировать;db
play;играть;db
prepare;готовить;db
pretend;притворяться;db
promise;обещать;db
read;читать;db
run;бежать;db
see;видеть;db
sleep;спать;db
smell;нюхать;db
speak;говорить;db
study;учиться;db
sun;солнце;user
swim;плавать;db
taste;пробовать;db
teach;учить;db
think;думать;db
touch;трогать;db
wake up;просыпаться;db
wake;будить;db
walk;гулять;db
water;вода;user
work;работать;db
write;писать;db
