word;example;translation;author
cat;The cat sat on the mat.;Кошка сидела на коврике.;user
run;I like to run every morning.;Она любит бегать в парке каждое утро.;user
despise;She despises people who are dishonest.;Она презирает людей, которые нечестны.;

drink;I usually drink coffee in the morning.;Я обычно пью кофе по утрам.;
eat;We should eat lunch together tomorrow.;Нам нужно поесть вместе завтра.;
feel;I feel happy when I am with my friends.;Я чувствую себя счастливым, когда я с друзьями.;Виктория
write;I love to write in my journal every evening.;Я люблю писать в своем дневнике каждый вечер.;Анна
work;She has to work on the project all weekend.;Ей нужно работать над проектом всю неделю.;Виктория
walk;We like to walk in the park on Sundays.;Мы любим гулять в парке по воскресеньям.;Виктория
accept;She didn't want to accept the truth.;Она не хотела принимать правду.;db
achieve;He worked hard to achieve his goals.;Он усердно работал, чтобы достичь своих целей.;db
add;Don’t forget to add sugar to the tea.;Не забудь добавить сахар в чай.;db
admire;I really admire her strength.;Я действительно восхищаюсь её силой.;db
admit;He had to admit his mistake.;Ему пришлось признать свою ошибку.;db
allow;They don't allow pets in this hotel.;В этом отеле не разрешают домашних животных.;db
answer;She didn’t know how to answer the question.;Она не знала, как ответить на вопрос.;db
ask;Can I ask you a question?;Могу я задать тебе вопрос?;db
bake;I love to bake cookies on weekends.;Я люблю печь печенье по выходным.;db
begin;Let's begin the lesson.;Давайте начнем урок.;db
believe;I believe in you.;Я верю в тебя.;db
bring;Can you bring me some water?;Можешь принести мне воды?;db
build;They want to build a new school here.;Они хотят построить здесь новую школу.;db
buy;She went to the store to buy bread.;Она пошла в магазин купить хлеб.;db
call;I will call you later.;Я позвоню тебе позже.;db
change;We need to change our plans.;Нам нужно изменить наши планы.;db
clean;Please clean your room.;Пожалуйста, убери свою комнату.;db
close;Don't forget to close the window.;Не забудь закрыть окно.;db
cook;She likes to cook Italian food.;Ей нравится готовить итальянскую еду.;db
create;Artists love to create new things.;Художники любят создавать новое.;db
cry;She began to cry during the movie.;Она начала плакать во время фильма.;db
cut;He cut the paper with scissors.;Он разрезал бумагу ножницами.;db
dance;They love to dance together.;Им нравится танцевать вместе.;db
decide;We need to decide quickly.;Нам нужно быстро принять решение.;db
deliver;They deliver food to your door.;Они доставляют еду к вашей двери.;db
discover;She hopes to discover something new.;Она надеется открыть что-то новое.;db
draw;Can you draw a cat?;Ты можешь нарисовать кошку?;db
drive;He learned to drive last year.;Он научился водить в прошлом году.;db
enjoy;Did you enjoy the movie?;Тебе понравился фильм?;db
enter;He entered the room quietly.;Он тихо вошёл в комнату.;db
escape;The bird escaped from the cage.;Птица сбежала из клетки.;db
explain;Please explain this to me.;Пожалуйста, объясни это мне.;db
fall;The leaves fall in autumn.;Листья падают осенью.;db
fight;They had to fight for their rights.;Им пришлось бороться за свои права.;db
find;Did you find your keys?;Ты нашёл свои ключи?;db
finish;She will finish the project tomorrow.;Она закончит проект завтра.;db
fix;He needs to fix the broken chair.;Ему нужно починить сломанный стул.;db
follow;Please follow the instructions.;Пожалуйста, следуйте инструкциям.;db
forget;Don’t forget your umbrella.;Не забудь свой зонт.;db
forgive;Can you forgive me?;Ты можешь меня простить?;db
get;I get up at 7 a.m. every day.;Я встаю в 7 утра каждый день.;db
give;He gave her a gift.;Он подарил ей подарок.;db
go;We go to the park every Sunday.;Мы ходим в парк каждое воскресенье.;db
grow;Children grow very fast.;Дети растут очень быстро.;db
guess;Can you guess what I’m thinking?;Ты можешь угадать, о чём я думаю?;db
happen;What will happen next?;Что произойдет дальше?;db
hold;Hold my hand.;Держи меня за руку.;db
hope;I hope everything will be okay.;Я надеюсь, всё будет хорошо.;db
hug;She gave him a big hug.;Она крепко его обняла.;db
imagine;Can you imagine a world without music?;Ты можешь представить мир без музыки?;db
improve;You need to improve your grammar.;Тебе нужно улучшить свою грамматику.;db
include;The price includes lunch.;Цена включает обед.;db
invite;We want to invite you to the party.;Мы хотим пригласить тебя на вечеринку.;db
join;Would you like to join us?;Хочешь к нам присоединиться?;db
keep;Keep your room clean.;Держи свою комнату в чистоте.;db
kill;He killed the spider.;Он убил паука.;db
know;Do you know her name?;Ты знаешь её имя?;db
laugh;They always laugh at his jokes.;Они всегда смеются над его шутками.;db
leave;We will leave in an hour.;Мы уедем через час.;db
like;I like chocolate ice cream.;Мне нравится шоколадное мороженое.;db
live;They live in a small town.;Они живут в маленьком городе.;db
lose;Don’t lose your phone again!;Не потеряй снова свой телефон!;db
make;Let’s make a cake!;Давайте сделаем торт!;db
meet;Nice to meet you!;Приятно познакомиться!;db
move;We are going to move next month.;Мы собираемся переехать в следующем месяце.;db
need;I need your help.;Мне нужна твоя помощь.;db
open;Can you open the window?;Ты можешь открыть окно?;db
paint;She painted a beautiful picture.;Она нарисовала красивую картину.;db
pass;Pass me the salt, please.;Передай мне соль, пожалуйста.;db
plan;Let’s plan our trip.;Давайте спланируем наше путешествие.;db
prepare;I have to prepare for the exam.;Мне нужно подготовиться к экзамену.;db
pretend;Don’t pretend you didn’t know.;Не притворяйся, что не знал.;db
promise;I promise to be there on time.;Я обещаю быть вовремя.;db
